id,company,track,title,url,publish_date,authors,in_scope,scope_reason
meta-r-2019-intphys-challenge,meta-fair,research,2019 Intphys Challenge,https://ai.meta.com/blog/2019-intphys-challenge/,,,TRUE,
meta-r-2021-habitat-challenge-launches-to-advance-embodied-ai-research,meta-fair,research,2021 Habitat Challenge Launches To Advance Embodied Ai Research,https://ai.meta.com/blog/2021-habitat-challenge-launches-to-advance-embodied-ai-research/,,,TRUE,
meta-r-5-steps-to-getting-started-with-llama-2,meta-fair,research,5 Steps To Getting Started With Llama 2,https://ai.meta.com/blog/5-steps-to-getting-started-with-llama-2/,,,TRUE,
meta-r-a-deeper-understanding-of-the-role-of-momentum-in-non-convex-optimization,meta-fair,research,A Deeper Understanding Of The Role Of Momentum In Non Convex Optimization,https://ai.meta.com/blog/a-deeper-understanding-of-the-role-of-momentum-in-non-convex-optimization/,,,TRUE,
meta-r-a-facebook-scale-simulator-to-detect-harmful-behaviors,meta-fair,research,A Facebook Scale Simulator To Detect Harmful Behaviors,https://ai.meta.com/blog/a-facebook-scale-simulator-to-detect-harmful-behaviors/,,,TRUE,
meta-r-a-highly-efficient-real-time-text-to-speech-system-deployed-on-cpus,meta-fair,research,A Highly Efficient Real Time Text To Speech System Deployed On Cpus,https://ai.meta.com/blog/a-highly-efficient-real-time-text-to-speech-system-deployed-on-cpus/,,,TRUE,
meta-r-a-new-dense-sliding-window-technique-for-instance-segmentation,meta-fair,research,A New Dense Sliding Window Technique For Instance Segmentation,https://ai.meta.com/blog/a-new-dense-sliding-window-technique-for-instance-segmentation/,,,TRUE,
meta-r-a-new-framework-for-large-scale-training-of-state-of-the-art-visual-classification-models,meta-fair,research,A New Framework For Large Scale Training Of State Of The Art Visual Classification Models,https://ai.meta.com/blog/a-new-framework-for-large-scale-training-of-state-of-the-art-visual-classification-models/,,,TRUE,
meta-r-a-new-generative-qa-model-that-learns-to-answer-the-whole-question,meta-fair,research,A New Generative Qa Model That Learns To Answer The Whole Question,https://ai.meta.com/blog/a-new-generative-qa-model-that-learns-to-answer-the-whole-question/,,,TRUE,
meta-r-a-new-open-benchmark-for-speech-recognition-with-limited-or-no-supervision,meta-fair,research,A New Open Benchmark For Speech Recognition With Limited Or No Supervision,https://ai.meta.com/blog/a-new-open-benchmark-for-speech-recognition-with-limited-or-no-supervision/,,,TRUE,
meta-r-a-new-open-data-set-for-multilingual-speech-research,meta-fair,research,A New Open Data Set For Multilingual Speech Research,https://ai.meta.com/blog/a-new-open-data-set-for-multilingual-speech-research/,,,TRUE,
meta-r-a-new-open-source-framework-for-automatic-differentiation-with-graphs,meta-fair,research,A New Open Source Framework For Automatic Differentiation With Graphs,https://ai.meta.com/blog/a-new-open-source-framework-for-automatic-differentiation-with-graphs/,,,TRUE,
meta-r-a-new-resource-to-help-measure-fairness-in-ai-speech-recognition-systems,meta-fair,research,A New Resource To Help Measure Fairness In Ai Speech Recognition Systems,https://ai.meta.com/blog/a-new-resource-to-help-measure-fairness-in-ai-speech-recognition-systems/,,,TRUE,
meta-r-a-new-state-of-the-art-voice-separation-model-that-distinguishes-multiple-speakers-simultaneously,meta-fair,research,A New State Of The Art Voice Separation Model That Distinguishes Multiple Speakers Simultaneously,https://ai.meta.com/blog/a-new-state-of-the-art-voice-separation-model-that-distinguishes-multiple-speakers-simultaneously/,,,TRUE,
meta-r-a-state-of-the-art-self-supervised-framework-for-video-understanding,meta-fair,research,A State Of The Art Self Supervised Framework For Video Understanding,https://ai.meta.com/blog/a-state-of-the-art-self-supervised-framework-for-video-understanding/,,,TRUE,
meta-r-accelerating-mri-reconstruction,meta-fair,research,Accelerating Mri Reconstruction,https://ai.meta.com/blog/accelerating-mri-reconstruction/,,,TRUE,
meta-r-accelerating-renewable-energy-with-a-new-data-set-for-green-hydrogen-fuel,meta-fair,research,Accelerating Renewable Energy With A New Data Set For Green Hydrogen Fuel,https://ai.meta.com/blog/accelerating-renewable-energy-with-a-new-data-set-for-green-hydrogen-fuel/,,,TRUE,
meta-r-accenture-built-with-llama,meta-fair,research,Accenture Built With Llama,https://ai.meta.com/blog/accenture-built-with-llama/,,,TRUE,
meta-r-adapting-large-language-models-llms,meta-fair,research,Adapting Large Language Models Llms,https://ai.meta.com/blog/adapting-large-language-models-llms/,,,TRUE,
meta-r-advances-in-content-understanding-self-supervision-to-protect-people,meta-fair,research,Advances In Content Understanding Self Supervision To Protect People,https://ai.meta.com/blog/advances-in-content-understanding-self-supervision-to-protect-people/,,,TRUE,
meta-r-advances-in-conversational-ai,meta-fair,research,Advances In Conversational Ai,https://ai.meta.com/blog/advances-in-conversational-ai/,,,TRUE,
meta-r-advances-in-multimodal-understanding-research-at-meta-ai,meta-fair,research,Advances In Multimodal Understanding Research At Meta Ai,https://ai.meta.com/blog/advances-in-multimodal-understanding-research-at-meta-ai/,,,TRUE,
meta-r-advancing-ai-by-teaching-robots-to-learn,meta-fair,research,Advancing Ai By Teaching Robots To Learn,https://ai.meta.com/blog/advancing-ai-by-teaching-robots-to-learn/,,,TRUE,
meta-r-advancing-ai-theory-with-a-first-principles-understanding-of-deep-neural-networks,meta-fair,research,Advancing Ai Theory With A First Principles Understanding Of Deep Neural Networks,https://ai.meta.com/blog/advancing-ai-theory-with-a-first-principles-understanding-of-deep-neural-networks/,,,TRUE,
meta-r-advancing-ai-to-make-shopping-easier-for-everyone,meta-fair,research,Advancing Ai To Make Shopping Easier For Everyone,https://ai.meta.com/blog/advancing-ai-to-make-shopping-easier-for-everyone/,,,TRUE,
meta-r-advancing-computer-vision-research-with-new-detectron2-mask-r-cnn-baselines,meta-fair,research,Advancing Computer Vision Research With New Detectron2 Mask R Cnn Baselines,https://ai.meta.com/blog/advancing-computer-vision-research-with-new-detectron2-mask-r-cnn-baselines/,,,TRUE,
meta-r-advancing-direct-speech-to-speech-modeling-with-discrete-units,meta-fair,research,Advancing Direct Speech To Speech Modeling With Discrete Units,https://ai.meta.com/blog/advancing-direct-speech-to-speech-modeling-with-discrete-units/,,,TRUE,
meta-r-advancing-first-person-perception-with-2022-ego4d-challenge,meta-fair,research,Advancing First Person Perception With 2022 Ego4D Challenge,https://ai.meta.com/blog/advancing-first-person-perception-with-2022-ego4d-challenge/,,,TRUE,
meta-r-advancing-state-of-the-art-image-recognition-with-deep-learning-on-hashtags,meta-fair,research,Advancing State Of The Art Image Recognition With Deep Learning On Hashtags,https://ai.meta.com/blog/advancing-state-of-the-art-image-recognition-with-deep-learning-on-hashtags/,,,TRUE,
meta-r-advertising-fairness-variance-reduction-system-vrs,meta-fair,research,Advertising Fairness Variance Reduction System Vrs,https://ai.meta.com/blog/advertising-fairness-variance-reduction-system-vrs/,,,TRUE,
meta-r-ai-action-summit-2025-ruben-fro-benjamin-bardou-mehdi-mejri,meta-fair,research,Ai Action Summit 2025 Ruben Fro Benjamin Bardou Mehdi Mejri,https://ai.meta.com/blog/ai-action-summit-2025-ruben-fro-benjamin-bardou-mehdi-mejri/,,,TRUE,
meta-r-ai-ads-performance-efficiency-meta-lattice,meta-fair,research,Ai Ads Performance Efficiency Meta Lattice,https://ai.meta.com/blog/ai-ads-performance-efficiency-meta-lattice/,,,TRUE,
meta-r-ai-advances-to-better-detect-hate-speech,meta-fair,research,Ai Advances To Better Detect Hate Speech,https://ai.meta.com/blog/ai-advances-to-better-detect-hate-speech/,,,TRUE,
meta-r-ai-alliance,meta-fair,research,Ai Alliance,https://ai.meta.com/blog/ai-alliance/,,,TRUE,
meta-r-ai-at-f8-2018-open-frameworks-and-responsible-development-,meta-fair,research,Ai At F8 2018 Open Frameworks And Responsible Development,https://ai.meta.com/blog/ai-at-f8-2018-open-frameworks-and-responsible-development-/,,,TRUE,
meta-r-ai-can-now-emulate-text-style-in-images-in-one-shot-using-just-a-single-word,meta-fair,research,Ai Can Now Emulate Text Style In Images In One Shot Using Just A Single Word,https://ai.meta.com/blog/ai-can-now-emulate-text-style-in-images-in-one-shot-using-just-a-single-word/,,,TRUE,
meta-r-ai-conversational-summarization-research,meta-fair,research,Ai Conversational Summarization Research,https://ai.meta.com/blog/ai-conversational-summarization-research/,,,TRUE,
meta-r-ai-dataset-animating-kids-drawings,meta-fair,research,Ai Dataset Animating Kids Drawings,https://ai.meta.com/blog/ai-dataset-animating-kids-drawings/,,,TRUE,
