id,company,country,track,title,url,publish_date,authors,in_scope,scope_reason
mn-r-kimi-agent-rs,moonshot,China,research,Kimi Agent (Rust),https://github.com/MoonshotAI/kimi-agent-rs,2026-02-06,Moonshot AI,TRUE,
mn-r-kimi-agent-sdk,moonshot,China,research,Kimi Agent SDK,https://github.com/MoonshotAI/kimi-agent-sdk,2026-01-08,Moonshot AI,TRUE,
mn-r-kimi-audio,moonshot,China,research,--- 1. Load Model ---,https://github.com/MoonshotAI/Kimi-Audio,2025-04-25,Moonshot AI,TRUE,
mn-r-kimi-audio-evalkit,moonshot,China,research,Kimi-Audio-Evalkit,https://github.com/MoonshotAI/Kimi-Audio-Evalkit,2025-04-25,Moonshot AI,TRUE,
mn-r-kimi-cli,moonshot,China,research,Kimi Code CLI,https://github.com/MoonshotAI/kimi-cli,2025-10-15,Moonshot AI,TRUE,
mn-r-kimi-code-zed-extension,moonshot,China,research,Kimi CLI Zed Extension,https://github.com/MoonshotAI/kimi-code-zed-extension,2025-12-02,Moonshot AI,TRUE,
mn-r-kimi-dev,moonshot,China,research,clone repo,https://github.com/MoonshotAI/Kimi-Dev,2025-06-16,Moonshot AI,TRUE,
mn-r-kimi-help-center,moonshot,China,research,kimi-help-center,https://github.com/MoonshotAI/kimi-help-center,2026-03-02,Moonshot AI,TRUE,
mn-r-kimi-k1.5,moonshot,China,research,Kimi k1.5: Scaling Reinforcement Learning with LLMs,https://github.com/MoonshotAI/Kimi-k1.5,2025-01-19,Moonshot AI,TRUE,
mn-r-kimi-k2,moonshot,China,research,Your tool implementation,https://github.com/MoonshotAI/Kimi-K2,2025-07-03,Moonshot AI,TRUE,
mn-r-kimi-k2.5,moonshot,China,research,Kimi-K2.5,https://github.com/MoonshotAI/Kimi-K2.5,2026-01-30,Moonshot AI,TRUE,
mn-r-kimi-linear,moonshot,China,research,Kimi-Linear,https://github.com/MoonshotAI/Kimi-Linear,2025-10-29,Moonshot AI,TRUE,
mn-r-kimi-researcher,moonshot,China,research,Kimi-Researcher,https://github.com/MoonshotAI/Kimi-Researcher,2025-06-20,Moonshot AI,TRUE,
mn-r-kimi-vendor-verifier,moonshot,China,research,[Kimi Vendor Verifier](https://www.kimi.com/blog/kimi-vendor-verifier.html),https://github.com/MoonshotAI/Kimi-Vendor-Verifier,2026-01-02,Moonshot AI,TRUE,
mn-r-kimi-vl,moonshot,China,research,"If flash-attn has been installed, it is recommended to set torch_dtype=torch.bfloat16 and attn_implementation=""flash_attention_2""",https://github.com/MoonshotAI/Kimi-VL,2025-04-09,Moonshot AI,TRUE,
mn-r-kimina-prover-preview,moonshot,China,research,Kimina-Prover Preview: Towards Large Formal Reasoning Models with Reinforcement Learning,https://github.com/MoonshotAI/Kimina-Prover-Preview,2025-04-14,Moonshot AI,TRUE,
mn-r-moba,moonshot,China,research,MoBA: Mixture of Block Attention for Long-Context LLMs,https://github.com/MoonshotAI/MoBA,2025-02-17,Moonshot AI,TRUE,
mn-r-moonlight,moonshot,China,research,train qwen-like dense model with muon,https://github.com/MoonshotAI/Moonlight,2025-02-22,Moonshot AI,TRUE,
