id,company,current_focus_area,current_subcategory,title,url
ant-e-managed-agents,anthropic,harness-and-context-engineering,fallback-harness,Scaling Managed Agents: Decoupling the brain from the hands,https://www.anthropic.com/engineering/managed-agents
ant-e-ai-resistant-technical-evaluations,anthropic,harness-and-context-engineering,fallback-harness,Designing AI resistant technical evaluations,https://www.anthropic.com/engineering/AI-resistant-technical-evaluations
ant-r-ai-fluency-index,anthropic,alignment-and-safety,fallback-alignment,Anthropic Education Report: The AI Fluency Index,https://www.anthropic.com/research/AI-fluency-index
ant-r-estimating-productivity-gains,anthropic,alignment-and-safety,fallback-alignment,Estimating AI productivity gains,https://www.anthropic.com/research/estimating-productivity-gains
ant-r-agentic-misalignment,anthropic,agentic-systems,agents-general,Agentic Misalignment: How LLMs could be insider threats,https://www.anthropic.com/research/agentic-misalignment
ant-r-tracing-thoughts-language-model,anthropic,interpretability,fallback-interp,Tracing the thoughts of a large language model,https://www.anthropic.com/research/tracing-thoughts-language-model
ant-r-visible-extended-thinking,anthropic,alignment-and-safety,fallback-alignment,Claude's extended thinking,https://www.anthropic.com/research/visible-extended-thinking
ant-r-crosscoder-model-diffing,anthropic,interpretability,fallback-interp,Insights on Crosscoder Model Diffing,https://www.anthropic.com/research/crosscoder-model-diffing
ant-r-clio,anthropic,alignment-and-safety,fallback-alignment,Clio: Privacy-preserving insights into real-world AI use,https://www.anthropic.com/research/clio
ant-r-features-as-classifiers,anthropic,interpretability,fallback-interp,Using dictionary learning features as classifiers,https://www.anthropic.com/research/features-as-classifiers
ant-r-engineering-challenges-interpretability,anthropic,interpretability,fallback-interp,The engineering challenges of scaling interpretability,https://www.anthropic.com/research/engineering-challenges-interpretability
ant-r-claude-character,anthropic,alignment-and-safety,fallback-alignment,Claude’s Character,https://www.anthropic.com/research/claude-character
ant-r-mapping-mind-language-model,anthropic,pretraining-and-architecture,fallback-architecture,Mapping the Mind of a Large Language Model,https://www.anthropic.com/research/mapping-mind-language-model
ant-r-measuring-model-persuasiveness,anthropic,pretraining-and-architecture,fallback-architecture,Measuring the Persuasiveness of Language Models,https://www.anthropic.com/research/measuring-model-persuasiveness
ant-r-evaluating-and-mitigating-discrimination-in-language-model-decisions,anthropic,pretraining-and-architecture,fallback-architecture,Evaluating and Mitigating Discrimination in Language Model Decisions,https://www.anthropic.com/research/evaluating-and-mitigating-discrimination-in-language-model-decisions
ant-r-towards-understanding-sycophancy-in-language-models,anthropic,pretraining-and-architecture,fallback-architecture,Towards Understanding Sycophancy in Language Models,https://www.anthropic.com/research/towards-understanding-sycophancy-in-language-models
ant-r-decomposing-language-models-into-understandable-components,anthropic,pretraining-and-architecture,fallback-architecture,Decomposing Language Models Into Understandable Components,https://www.anthropic.com/research/decomposing-language-models-into-understandable-components
ant-r-towards-monosemanticity-decomposing-language-models-with-dictionary-learning,anthropic,pretraining-and-architecture,fallback-architecture,Towards Monosemanticity: Decomposing Language Models With Dictionary Learning,https://www.anthropic.com/research/towards-monosemanticity-decomposing-language-models-with-dictionary-learning
ant-r-evaluating-ai-systems,anthropic,pretraining-and-architecture,fallback-architecture,Challenges in evaluating AI systems,https://www.anthropic.com/research/evaluating-ai-systems
