id,company,country,track,title,url,publish_date,authors,in_scope,scope_reason
lc-r-a-chunk-by-any-other-name,langchain,USA,research,A Chunk by Any Other Name: Structured Text Splitting and Metadata-enhanced RAG,https://www.langchain.com/blog/a-chunk-by-any-other-name,2023-10-18,LangChain,TRUE,
lc-r-access-control-updates-for-langsmith,langchain,USA,research,Role Based Access Control (RBAC) for LangSmith,https://www.langchain.com/blog/access-control-updates-for-langsmith,2024-05-08,LangChain,TRUE,
lc-r-adding-long-term-memory-to-opengpts,langchain,USA,research,Adding Long Term Memory to OpenGPTs,https://www.langchain.com/blog/adding-long-term-memory-to-opengpts,2023-11-29,LangChain,TRUE,
lc-r-agent-authorization-explainer,langchain,USA,research,Securing your agents with authentication and authorization,https://www.langchain.com/blog/agent-authorization-explainer,2025-10-13,LangChain,TRUE,
lc-r-agent-engineering-a-new-discipline,langchain,USA,research,Agent Engineering: A New Discipline,https://www.langchain.com/blog/agent-engineering-a-new-discipline,2025-12-09,LangChain,TRUE,
lc-r-agent-evaluation-readiness-checklist,langchain,USA,research,Agent Evaluation Readiness Checklist,https://www.langchain.com/blog/agent-evaluation-readiness-checklist,2026-03-27,LangChain,TRUE,
lc-r-agent-frameworks-runtimes-and-harnesses-oh-my,langchain,USA,research,"Agent Frameworks, Runtimes, and Harnesses- oh my!",https://www.langchain.com/blog/agent-frameworks-runtimes-and-harnesses-oh-my,2025-10-25,LangChain,TRUE,
lc-r-agent-middleware,langchain,USA,research,Agent Middleware,https://www.langchain.com/blog/agent-middleware,2025-09-08,LangChain,TRUE,
lc-r-agent-observability-powers-agent-evaluation,langchain,USA,research,Agent Observability Powers Agent Evaluation,https://www.langchain.com/blog/agent-observability-powers-agent-evaluation,2026-02-21,LangChain,TRUE,
lc-r-agent-protocol-interoperability-for-llm-agents,langchain,USA,research,Agent Protocol: Interoperability for LLM agents,https://www.langchain.com/blog/agent-protocol-interoperability-for-llm-agents,2024-11-19,LangChain,TRUE,
lc-r-agent-toolkits,langchain,USA,research,Agent Toolkits,https://www.langchain.com/blog/agent-toolkits,2023-03-01,LangChain,TRUE,
lc-r-agentic-rag-with-langgraph,langchain,USA,research,Self-Reflective RAG with LangGraph,https://www.langchain.com/blog/agentic-rag-with-langgraph,2024-02-07,LangChain,TRUE,
lc-r-agents-round,langchain,USA,research,Autonomous Agents & Agent Simulations,https://www.langchain.com/blog/agents-round,2023-04-18,LangChain,TRUE,
lc-r-ai-powered-medical-knowledge,langchain,USA,research,AI-Powered Medical Knowledge: Revolutionizing Care for Rare Conditions,https://www.langchain.com/blog/ai-powered-medical-knowledge,2023-04-17,LangChain,TRUE,
lc-r-aligning-llm-as-a-judge-with-human-preferences,langchain,USA,research,Aligning LLM-as-a-Judge with Human Preferences,https://www.langchain.com/blog/aligning-llm-as-a-judge-with-human-preferences,2024-06-26,LangChain,TRUE,
lc-r-ally-financial-collaborates-with-langchain-to-deliver-critical-coding-module-to-mask-personal-identifying-information-in-a-compliant-and-safe-manner,langchain,USA,research,Ally Financial Collaborates with LangChain to Deliver Critical Coding Module to Mask Personal Identifying Information in a Compliant and Safe Manner,https://www.langchain.com/blog/ally-financial-collaborates-with-langchain-to-deliver-critical-coding-module-to-mask-personal-identifying-information-in-a-compliant-and-safe-manner,2024-01-11,LangChain,TRUE,
lc-r-announcing-data-annotation-queue,langchain,USA,research,Announcing Data Annotation Queues,https://www.langchain.com/blog/announcing-data-annotation-queue,2023-10-26,LangChain,TRUE,
lc-r-announcing-langchain-v0-3,langchain,USA,research,Announcing LangChain v0.3,https://www.langchain.com/blog/announcing-langchain-v0-3,2024-09-16,LangChain,TRUE,
lc-r-announcing-langsmith,langchain,USA,research,"Announcing LangSmith, a unified platform for debugging, testing, evaluating, and monitoring your LLM applications",https://www.langchain.com/blog/announcing-langsmith,2023-07-18,LangChain,TRUE,
