id,company,track,title,url,publish_date,authors,in_scope,scope_reason
ai2-r-ace,ai2,research,Ace,https://allenai.org/blog/ace,,,TRUE,
ai2-r-ai-climate-a-first-of-its-kind-conversation-on-the-hill-10baea2a0d13,ai2,research,Ai Climate A First Of Its Kind Conversation On The Hill 10Baea2A0D13,https://allenai.org/blog/ai-climate-a-first-of-its-kind-conversation-on-the-hill-10baea2a0d13,,,TRUE,
ai2-r-ai-climate-congress,ai2,research,Ai Climate Congress,https://allenai.org/blog/ai-climate-congress,,,TRUE,
ai2-r-ai-for-earth-2023,ai2,research,Ai For Earth 2023,https://allenai.org/blog/ai-for-earth-2023,,,TRUE,
ai2-r-ai-for-earth-2023-in-review-49a27cb731a8,ai2,research,Ai For Earth 2023 In Review 49A27Cb731A8,https://allenai.org/blog/ai-for-earth-2023-in-review-49a27cb731a8,,,TRUE,
ai2-r-ai-literacy,ai2,research,Ai Literacy,https://allenai.org/blog/ai-literacy,,,TRUE,
ai2-r-ai2-and-iucn-to-provide-ai-technology-and-expertise-at-no-cost-to-accelerate-and-strengthen-marine-f80ca7244a5f,ai2,research,Ai2 And Iucn To Provide Ai Technology And Expertise At No Cost To Accelerate And Strengthen Marine F80Ca7244A5F,https://allenai.org/blog/ai2-and-iucn-to-provide-ai-technology-and-expertise-at-no-cost-to-accelerate-and-strengthen-marine-f80ca7244a5f,,,TRUE,
ai2-r-ai2-at-cop-16-harnessing-ai-and-conservation-tech-to-protect-our-planet-3daee46e25f9,ai2,research,Ai2 At Cop 16 Harnessing Ai And Conservation Tech To Protect Our Planet 3Daee46E25F9,https://allenai.org/blog/ai2-at-cop-16-harnessing-ai-and-conservation-tech-to-protect-our-planet-3daee46e25f9,,,TRUE,
ai2-r-ai2-climate-emulator,ai2,research,Ai2 Climate Emulator,https://allenai.org/blog/ai2-climate-emulator,,,TRUE,
ai2-r-ai2-google-next,ai2,research,Ai2 Google Next,https://allenai.org/blog/ai2-google-next,,,TRUE,
