id,company,country,track,title,url,publish_date,authors,in_scope,scope_reason
qw-r-qwen3guard,qwen,China,research,Qwen3Guard: Real-time Safety for Your Token Stream,https://qwenlm.github.io/blog/qwen3guard/,2025-09-23,Qwen Team,TRUE,
qw-r-qwen-image-edit,qwen,China,research,Qwen-Image-Edit: Image Editing with Higher Quality and Efficiency,https://qwenlm.github.io/blog/qwen-image-edit/,2025-08-19,Qwen Team,TRUE,
qw-r-qwen-image,qwen,China,research,Qwen-Image: Crafting with Native Text Rendering,https://qwenlm.github.io/blog/qwen-image/,2025-08-04,Qwen Team,TRUE,
qw-r-gspo,qwen,China,research,GSPO: Towards Scalable Reinforcement Learning for Language Models,https://qwenlm.github.io/blog/gspo/,2025-07-27,Qwen Team,TRUE,
qw-r-qwen-mt,qwen,China,research,Qwen-MT: Where Speed Meets Smart Translation,https://qwenlm.github.io/blog/qwen-mt/,2025-07-24,Qwen Team,TRUE,
qw-r-qwen3-coder,qwen,China,research,Qwen3-Coder: Agentic Coding in the World,https://qwenlm.github.io/blog/qwen3-coder/,2025-07-22,Qwen Team,TRUE,
qw-r-qwen-tts,qwen,China,research,"Time to Speak Some Dialects, Qwen-TTS!",https://qwenlm.github.io/blog/qwen-tts/,2025-06-27,Qwen Team,TRUE,
qw-r-qwen-vlo,qwen,China,research,"Qwen VLo: From ""Understanding"" the World to ""Depicting"" It",https://qwenlm.github.io/blog/qwen-vlo/,2025-06-26,Qwen Team,TRUE,
qw-r-qwen3-embedding,qwen,China,research,Qwen3 Embedding: Advancing Text Embedding and Reranking Through Foundation Models,https://qwenlm.github.io/blog/qwen3-embedding/,2025-06-05,Qwen Team,TRUE,
qw-r-qwen3,qwen,China,research,"Qwen3: Think Deeper, Act Faster",https://qwenlm.github.io/blog/qwen3/,2025-04-29,Qwen Team,TRUE,
qw-r-qvq-max-preview,qwen,China,research,QVQ-Max: Think with Evidence,https://qwenlm.github.io/blog/qvq-max-preview/,2025-03-28,Qwen Team,TRUE,
qw-r-qwen2.5-omni,qwen,China,research,"Qwen2.5 Omni: See, Hear, Talk, Write, Do It All!",https://qwenlm.github.io/blog/qwen2.5-omni/,2025-03-27,Qwen Team,TRUE,
qw-r-qwen2.5-vl-32b,qwen,China,research,Qwen2.5-VL-32B: Smarter and Lighter,https://qwenlm.github.io/blog/qwen2.5-vl-32b/,2025-03-24,Qwen Team,TRUE,
qw-r-qwq-32b,qwen,China,research,QwQ-32B: Embracing the Power of Reinforcement Learning,https://qwenlm.github.io/blog/qwq-32b/,2025-03-06,Qwen Team,TRUE,
qw-r-qwq-max-preview,qwen,China,research,<think>...</think> QwQ-Max-Preview,https://qwenlm.github.io/blog/qwq-max-preview/,2025-02-25,Qwen Team,TRUE,
qw-r-qwen2.5-max,qwen,China,research,Qwen2.5-Max: Exploring the Intelligence of Large-scale MoE Model,https://qwenlm.github.io/blog/qwen2.5-max/,2025-01-28,Qwen Team,TRUE,
qw-r-qwen2.5-1m,qwen,China,research,Qwen2.5-1M: Deploy Your Own Qwen with Context Length up to 1M Tokens,https://qwenlm.github.io/blog/qwen2.5-1m/,2025-01-27,Qwen Team,TRUE,
qw-r-qwen2.5-vl,qwen,China,research,Qwen2.5 VL! Qwen2.5 VL! Qwen2.5 VL!,https://qwenlm.github.io/blog/qwen2.5-vl/,2025-01-26,Qwen Team,TRUE,
qw-r-global-load-balance,qwen,China,research,Global-batch load balance almost free lunch to improve your MoE LLM training,https://qwenlm.github.io/blog/global-load-balance/,2025-01-21,Qwen Team,TRUE,
qw-r-qwen2.5-math-prm,qwen,China,research,Towards Effective Process Supervision in Mathematical Reasoning,https://qwenlm.github.io/blog/qwen2.5-math-prm/,2025-01-14,Qwen Team,TRUE,
qw-r-qvq-72b-preview,qwen,China,research,QVQ: To See the World with Wisdom,https://qwenlm.github.io/blog/qvq-72b-preview/,2024-12-25,Qwen Team,TRUE,
qw-r-qwq-32b-preview,qwen,China,research,QwQ: Reflect Deeply on the Boundaries of the Unknown,https://qwenlm.github.io/blog/qwq-32b-preview/,2024-11-28,Qwen Team,TRUE,
qw-r-qwen2.5-turbo,qwen,China,research,Extending the Context Length to 1M Tokens!,https://qwenlm.github.io/blog/qwen2.5-turbo/,2024-11-15,Qwen Team,TRUE,
qw-r-qwen2.5-coder-family,qwen,China,research,"Qwen2.5-Coder Series: Powerful, Diverse, Practical.",https://qwenlm.github.io/blog/qwen2.5-coder-family/,2024-11-12,Qwen Team,TRUE,
qw-r-qwen2.5,qwen,China,research,Qwen2.5: A Party of Foundation Models!,https://qwenlm.github.io/blog/qwen2.5/,2024-09-19,Qwen Team,TRUE,
