id,company,track,title,url,publish_date,authors,in_scope,scope_reason
oai-e-harness-engineering,openai,engineering,Harness engineering: leveraging Codex in an agent-first world,https://openai.com/index/harness-engineering/,2026-02-04,,TRUE,
oai-e-unlocking-the-codex-harness,openai,engineering,Unlocking the Codex harness: how we built the App Server,https://openai.com/index/unlocking-the-codex-harness/,2026-01-29,,TRUE,
oai-e-building-chatgpt-atlas,openai,engineering,"How we built OWL, the new architecture behind our ChatGPT-based browser, Atlas",https://openai.com/index/building-chatgpt-atlas/,2025-12-12,,TRUE,
oai-e-shipping-sora-for-android-with-codex,openai,engineering,How we used Codex to build Sora for Android in 28 days,https://openai.com/index/shipping-sora-for-android-with-codex/,2025-10-30,,TRUE,
oai-e-beyond-rate-limits,openai,engineering,Beyond rate limits: scaling access to Codex and Sora,https://openai.com/index/beyond-rate-limits/,2026-02-11,,TRUE,
oai-e-equip-responses-api-computer-environment,openai,engineering,From model to agent: Equipping the Responses API with a computer environment,https://openai.com/index/equip-responses-api-computer-environment/,2026-02-13,,TRUE,
oai-e-unrolling-the-codex-agent-loop,openai,engineering,Unrolling the Codex agent loop,https://openai.com/index/unrolling-the-codex-agent-loop/,,,TRUE,
oai-e-inside-our-in-house-data-agent,openai,engineering,Inside OpenAI’s in-house data agent,https://openai.com/index/inside-our-in-house-data-agent/,2026-01-23,,TRUE,
oai-e-scaling-postgresql,openai,engineering,Scaling PostgreSQL to power 800 million ChatGPT users,https://openai.com/index/scaling-postgresql/,,,TRUE,
oai-r-dall-e-3,openai,research,DALL·E 3,https://openai.com/index/dall-e-3/,,,TRUE,
oai-r-deliberative-alignment,openai,research,Deliberative alignment: reasoning enables safer language models,https://openai.com/index/deliberative-alignment/,,,TRUE,
oai-r-instruction-hierarchy-challenge,openai,research,Improving instruction hierarchy in frontier LLMs,https://openai.com/index/instruction-hierarchy-challenge/,,,TRUE,
oai-r-how-we-monitor-internal-coding-agents-misalignment,openai,research,How we monitor internal coding agents for misalignment,https://openai.com/index/how-we-monitor-internal-coding-agents-misalignment/,,,TRUE,
oai-r-why-we-no-longer-evaluate-swe-bench-verified,openai,research,Why SWE-bench Verified no longer measures frontier coding capabilities,https://openai.com/index/why-we-no-longer-evaluate-swe-bench-verified/,,,TRUE,
oai-r-gpt-5-1-codex-max-system-card,openai,research,GPT-5.1-Codex-Max System Card,https://openai.com/index/gpt-5-1-codex-max-system-card/,,,TRUE,
oai-r-evaluating-chain-of-thought-monitorability,openai,research,Evaluating chain-of-thought monitorability,https://openai.com/index/evaluating-chain-of-thought-monitorability/,,,TRUE,
oai-r-gpt-5-3-codex-system-card,openai,research,GPT-5.3-Codex System Card,https://openai.com/index/gpt-5-3-codex-system-card/,,,TRUE,
oai-r-our-approach-to-the-model-spec,openai,research,Inside our approach to the Model Spec,https://openai.com/index/our-approach-to-the-model-spec/,,,TRUE,
oai-r-accelerating-biological-research-in-the-wet-lab,openai,research,Measuring AI’s capability to accelerate biological research in the wet lab,https://openai.com/index/accelerating-biological-research-in-the-wet-lab/,,,TRUE,
oai-r-frontierscience,openai,research,Evaluating AI’s ability to perform scientific research tasks,https://openai.com/index/frontierscience/,,,TRUE,
oai-r-gdpval,openai,research,Measuring the performance of our models on real-world tasks,https://openai.com/index/gdpval/,,,TRUE,
oai-r-updating-our-preparedness-framework,openai,research,Our updated Preparedness Framework,https://openai.com/index/updating-our-preparedness-framework/,,,TRUE,
oai-r-gpt-5-2-codex-system-card,openai,research,Addendum to GPT-5.2 System Card: GPT-5.2-Codex,https://openai.com/index/gpt-5-2-codex-system-card/,,,TRUE,
oai-r-how-confessions-can-keep-language-models-honest,openai,research,How confessions can keep language models honest,https://openai.com/index/how-confessions-can-keep-language-models-honest/,,,TRUE,
oai-r-ai-and-efficiency,openai,research,AI and efficiency,https://openai.com/index/ai-and-efficiency/,,,TRUE,
oai-r-prediction-and-control-with-temporal-segment-models,openai,research,Prediction and control with temporal segment models,https://openai.com/index/prediction-and-control-with-temporal-segment-models/,,,TRUE,
oai-r-third-person-imitation-learning,openai,research,Third-person imitation learning,https://openai.com/index/third-person-imitation-learning/,,,TRUE,
oai-r-learning-to-summarize-with-human-feedback,openai,research,Learning to summarize with human feedback,https://openai.com/index/learning-to-summarize-with-human-feedback/,,,TRUE,
oai-r-sora-system-card,openai,research,Sora System Card,https://openai.com/index/sora-system-card/,,,TRUE,
oai-r-ai-clinical-copilot-penda-health,openai,research,Pioneering an AI clinical copilot with Penda Health,https://openai.com/index/ai-clinical-copilot-penda-health/,,,TRUE,
oai-r-accelerating-life-sciences-research-with-retro-biosciences,openai,research,Accelerating life sciences research,https://openai.com/index/accelerating-life-sciences-research-with-retro-biosciences/,,,TRUE,
oai-r-gpt-5-system-card-update-gpt-5-2,openai,research,Update to GPT-5 System Card: GPT-5.2,https://openai.com/index/gpt-5-system-card-update-gpt-5-2/,,,TRUE,
oai-r-gpt-5-system-card-sensitive-conversations,openai,research,Addendum to GPT-5 System Card: Sensitive conversations,https://openai.com/index/gpt-5-system-card-sensitive-conversations/,,,TRUE,
oai-r-understanding-neural-networks-through-sparse-circuits,openai,research,Understanding neural networks through sparse circuits,https://openai.com/index/understanding-neural-networks-through-sparse-circuits/,,,TRUE,
oai-r-fine-tuning-gpt-2,openai,research,Fine-tuning GPT-2 from human preferences,https://openai.com/index/fine-tuning-gpt-2/,,,TRUE,
oai-r-emergence-of-grounded-compositional-language-in-multi-agent-populations,openai,research,Emergence of grounded compositional language in multi-agent populations,https://openai.com/index/emergence-of-grounded-compositional-language-in-multi-agent-populations/,,,TRUE,
oai-r-reptile,openai,research,Reptile: A scalable meta-learning algorithm,https://openai.com/index/reptile/,,,TRUE,
oai-r-adversarial-attacks-on-neural-network-policies,openai,research,Adversarial attacks on neural network policies,https://openai.com/index/adversarial-attacks-on-neural-network-policies/,,,TRUE,
oai-r-improving-language-model-behavior,openai,research,Improving language model behavior by training on a curated dataset,https://openai.com/index/improving-language-model-behavior/,,,TRUE,
oai-r-learning-complex-goals-with-iterated-amplification,openai,research,Learning complex goals with iterated amplification,https://openai.com/index/learning-complex-goals-with-iterated-amplification/,,,TRUE,
oai-r-democratic-inputs-to-ai,openai,research,Democratic inputs to AI,https://openai.com/index/democratic-inputs-to-ai/,,,TRUE,
oai-r-improving-gans-using-optimal-transport,openai,research,Improving GANs using optimal transport,https://openai.com/index/improving-gans-using-optimal-transport/,,,TRUE,
oai-r-ai-safety-needs-social-scientists,openai,research,AI safety needs social scientists,https://openai.com/index/ai-safety-needs-social-scientists/,,,TRUE,
oai-r-transfer-from-simulation-to-real-world-through-learning-deep-inverse-dynamics-model,openai,research,Transfer from simulation to real world through learning deep inverse dynamics model,https://openai.com/index/transfer-from-simulation-to-real-world-through-learning-deep-inverse-dynamics-model/,,,TRUE,
oai-r-computational-limitations-in-robust-classification-and-win-win-results,openai,research,Computational limitations in robust classification and win-win results,https://openai.com/index/computational-limitations-in-robust-classification-and-win-win-results/,,,TRUE,
oai-r-gpt-oss-model-card,openai,research,gpt-oss-120b & gpt-oss-20b Model Card,https://openai.com/index/gpt-oss-model-card/,,,TRUE,
oai-r-gpt-5-system-card-addendum-gpt-5-1,openai,research,GPT-5.1 Instant and GPT-5.1 Thinking System Card Addendum,https://openai.com/index/gpt-5-system-card-addendum-gpt-5-1/,,,TRUE,
oai-r-sora-2-system-card,openai,research,Sora 2 System Card,https://openai.com/index/sora-2-system-card/,,,TRUE,
oai-r-consistency-models,openai,research,Consistency Models,https://openai.com/index/consistency-models/,,,TRUE,
oai-r-chain-of-thought-monitoring,openai,research,Detecting misbehavior in frontier reasoning models,https://openai.com/index/chain-of-thought-monitoring/,,,TRUE,
oai-r-text-and-code-embeddings-by-contrastive-pre-training,openai,research,Text and code embeddings by contrastive pre-training,https://openai.com/index/text-and-code-embeddings-by-contrastive-pre-training/,,,TRUE,
oai-r-critiques,openai,research,AI-written critiques help humans notice flaws,https://openai.com/index/critiques/,,,TRUE,
oai-r-teaching-models-to-express-their-uncertainty-in-words,openai,research,Teaching models to express their uncertainty in words,https://openai.com/index/teaching-models-to-express-their-uncertainty-in-words/,,,TRUE,
oai-r-forecasting-misuse,openai,research,Forecasting potential misuses of language models for disinformation campaigns and how to reduce risk,https://openai.com/index/forecasting-misuse/,,,TRUE,
oai-r-operator-system-card,openai,research,Operator System Card,https://openai.com/index/operator-system-card/,,,TRUE,
oai-r-hindsight-experience-replay,openai,research,Hindsight Experience Replay,https://openai.com/index/hindsight-experience-replay/,,,TRUE,
oai-r-quantifying-generalization-in-reinforcement-learning,openai,research,Quantifying generalization in reinforcement learning,https://openai.com/index/quantifying-generalization-in-reinforcement-learning/,,,TRUE,
oai-r-introducing-activation-atlases,openai,research,Introducing Activation Atlases,https://openai.com/index/introducing-activation-atlases/,,,TRUE,
