id,company,country,track,title,url,publish_date,authors,in_scope,scope_reason
mt-r-2024-ft-hackathon,mistral,France,research,Mistral AI Fine-tuning Hackathon | Mistral AI | Frontier AI in your hands,https://mistral.ai/news/2024-ft-hackathon/,2024-06-05,Mistral AI,TRUE,
mt-r-8x22b-lite,mistral,France,research,undefined,https://mistral.ai/news/8x22b-lite/,2025-03-04,Mistral AI,TRUE,
mt-r-about-mistral-ai,mistral,France,research,Bringing open AI models to the frontier | Mistral AI | Frontier AI in your hands,https://mistral.ai/news/about-mistral-ai/,2023-09-27,Mistral AI,TRUE,
mt-r-agentic-workflows-from-meetings-to-dev-tickets,mistral,France,research,Empowering product development with an agentic workflow,https://mistral.ai/news/agentic-workflows-from-meetings-to-dev-tickets/,2025-03-04,Mistral AI,TRUE,
mt-r-agents-api,mistral,France,research,Build AI agents with the Mistral Agents API,https://mistral.ai/news/agents-api/,2025-05-27,Mistral AI,TRUE,
mt-r-ai-for-citizens,mistral,France,research,Announcing AI for Citizens,https://mistral.ai/news/ai-for-citizens/,2025-07-03,Mistral AI,TRUE,
mt-r-ai-studio,mistral,France,research,Introducing Mistral AI Studio.,https://mistral.ai/news/ai-studio/,2025-10-24,Mistral AI,TRUE,
mt-r-all-new-le-chat,mistral,France,research,All New Le Chat,https://mistral.ai/news/all-new-le-chat/,,Mistral AI,TRUE,
mt-r-announcing-mistral-7b,mistral,France,research,Mistral 7B | Mistral AI | Frontier AI in your hands,https://mistral.ai/news/announcing-mistral-7b/,2023-09-27,Mistral AI,TRUE,
mt-r-batch-api,mistral,France,research,Batch Api,https://mistral.ai/news/batch-api/,,Mistral AI,TRUE,
mt-r-build-tweak-repeat,mistral,France,research,Build Tweak Repeat,https://mistral.ai/news/build-tweak-repeat/,,Mistral AI,TRUE,
mt-r-codestral,mistral,France,research,Codestral,https://mistral.ai/news/codestral/,,Mistral AI,TRUE,
mt-r-codestral-25-01,mistral,France,research,Codestral 25 01,https://mistral.ai/news/codestral-25-01/,,Mistral AI,TRUE,
mt-r-codestral-25-08,mistral,France,research,Codestral 25 08,https://mistral.ai/news/codestral-25-08/,,Mistral AI,TRUE,
