id,company,country,track,title,url,publish_date,authors,in_scope,scope_reason
a21-r-2024-enterprise-ai-forecast-from-pilot-to-production,ai21,Israel,research,2024 Enterprise AI Forecast: From Pilot to Production,https://www.ai21.com/blog/2024-enterprise-ai-forecast-from-pilot-to-production/,2024-01-09,AI21 Labs,TRUE,
a21-r-2025-predictions-for-enterprise-ai,ai21,Israel,research,2025 Predictions for Enterprise AI,https://www.ai21.com/blog/2025-predictions-for-enterprise-ai/,2025-01-02,AI21 Labs,TRUE,
a21-r-7-long-context-trends-in-the-enterprise,ai21,Israel,research,Long Context Trends in the Enterprise: 7 Common Use Cases From the Field,https://www.ai21.com/blog/7-long-context-trends-in-the-enterprise/,2024-07-16,AI21 Labs,TRUE,
a21-r-accuracy-at-scale,ai21,Israel,research,Accuracy at Scale,https://www.ai21.com/blog/accuracy-at-scale/,2025-02-24,AI21 Labs,TRUE,
a21-r-ai-agent,ai21,Israel,research,The AI Agent Hype Is Real – But Many Are Still Just Glorified If-Else Statements,https://www.ai21.com/blog/ai-agent/,2025-02-25,AI21 Labs,TRUE,
a21-r-ai-all-the-work,ai21,Israel,research,“AI all the work”: Inside Ori Goshen’s RAISE Summit keynote,https://www.ai21.com/blog/ai-all-the-work/,2025-07-30,AI21 Labs,TRUE,
a21-r-ai-compliance-monitoring,ai21,Israel,research,"Monitoring Compliance in Real Time: Reduce Risk, React Faster",https://www.ai21.com/blog/ai-compliance-monitoring/,2025-07-21,AI21 Labs,TRUE,
a21-r-ai-reasoning-planning-vs-predicting,ai21,Israel,research,"Planning Actions, Not Predicting Tokens",https://www.ai21.com/blog/ai-reasoning-planning-vs-predicting/,2025-03-10,AI21 Labs,TRUE,
a21-r-ai21-bigquery,ai21,Israel,research,AI21 Labs to Integrate Generative AI Capabilities with BigQuery,https://www.ai21.com/blog/ai21-bigquery/,2023-08-30,AI21 Labs,TRUE,
a21-r-ai21-completes-208-million-oversubscribed-series-c-round,ai21,Israel,research,AI21 Completes $208 Million Oversubscribed Series C Round,https://www.ai21.com/blog/ai21-completes-208-million-oversubscribed-series-c-round/,2023-11-22,AI21 Labs,TRUE,
a21-r-ai21-emerging-visionary-gartner,ai21,Israel,research,Ai21 Emerging Visionary Gartner,https://www.ai21.com/blog/ai21-emerging-visionary-gartner/,,AI21 Labs,TRUE,
a21-r-ai21-invisible-technologies-strategic-partnership,ai21,Israel,research,Ai21 Invisible Technologies Strategic Partnership,https://www.ai21.com/blog/ai21-invisible-technologies-strategic-partnership/,,AI21 Labs,TRUE,
a21-r-ai21-joins-nvidia-inception,ai21,Israel,research,Ai21 Joins Nvidia Inception,https://www.ai21.com/blog/ai21-joins-nvidia-inception/,,AI21 Labs,TRUE,
a21-r-ai21-labs-announces-partnership-with-dataiku,ai21,Israel,research,Ai21 Labs Announces Partnership With Dataiku,https://www.ai21.com/blog/ai21-labs-announces-partnership-with-dataiku/,,AI21 Labs,TRUE,
a21-r-ai21-labs-latest-llms-now-available-in-google-cloud-marketplace,ai21,Israel,research,Ai21 Labs Latest Llms Now Available In Google Cloud Marketplace,https://www.ai21.com/blog/ai21-labs-latest-llms-now-available-in-google-cloud-marketplace/,,AI21 Labs,TRUE,
a21-r-ai21-labs-on-bedrock-now-available-for-every-amazon-customer,ai21,Israel,research,Ai21 Labs On Bedrock Now Available For Every Amazon Customer,https://www.ai21.com/blog/ai21-labs-on-bedrock-now-available-for-every-amazon-customer/,,AI21 Labs,TRUE,
a21-r-ai21-labs-state-of-the-art-language-models-to-be-integrated-into-the-snowflake-platform,ai21,Israel,research,Ai21 Labs State Of The Art Language Models To Be Integrated Into The Snowflake Platform,https://www.ai21.com/blog/ai21-labs-state-of-the-art-language-models-to-be-integrated-into-the-snowflake-platform/,,AI21 Labs,TRUE,
a21-r-ai21-receives-a-top-score-on-stanford-university-transparency-index,ai21,Israel,research,Ai21 Receives A Top Score On Stanford University Transparency Index,https://www.ai21.com/blog/ai21-receives-a-top-score-on-stanford-university-transparency-index/,,AI21 Labs,TRUE,
