id,company,track,title,url,publish_date,authors,in_scope,scope_reason
dbx-r-agentic-reasoning-practice-making-sense-structured-and-unstructured-data,databricks,research,Agentic Reasoning in Practice: Making Sense of Structured and Unstructured Data,https://www.databricks.com/blog/agentic-reasoning-practice-making-sense-structured-and-unstructured-data,2026-04-14,The Databricks AI Research Team,TRUE,
dbx-r-memory-scaling-ai-agents,databricks,research,Memory Scaling for AI Agents,https://www.databricks.com/blog/memory-scaling-ai-agents,2026-04-10,The Databricks AI Research Team,TRUE,
dbx-r-meet-karl-faster-agent-enterprise-knowledge-powered-custom-rl,databricks,research,"Meet KARL: A Faster Agent for Enterprise Knowledge, powered by custom RL",https://www.databricks.com/blog/meet-karl-faster-agent-enterprise-knowledge-powered-custom-rl,2026-03-05,The Databricks AI Research Team,TRUE,
dbx-r-memalign-building-better-llm-judges-human-feedback-scalable-memory,databricks,research,MemAlign: Building Better LLM Judges From Human Feedback With Scalable Memory,https://www.databricks.com/blog/memalign-building-better-llm-judges-human-feedback-scalable-memory,2026-02-03,The Databricks AI Research Team,TRUE,
dbx-r-scaling-small-llms-nvidia-mps,databricks,research,Scaling Small LLMs with NVIDIA MPS,https://www.databricks.com/blog/scaling-small-llms-nvidia-mps,2026-01-26,The Databricks AI Research Team,TRUE,
dbx-r-instructed-retriever-unlocking-system-level-reasoning-search-agents,databricks,research,Instructed Retriever: Unlocking System-Level Reasoning in Search Agents,https://www.databricks.com/blog/instructed-retriever-unlocking-system-level-reasoning-search-agents,2026-01-06,The Databricks AI Research Team,TRUE,
dbx-r-introducing-officeqa-benchmark-end-to-end-grounded-reasoning,databricks,research,Introducing OfficeQA: A Benchmark for End-to-End Grounded Reasoning,https://www.databricks.com/blog/introducing-officeqa-benchmark-end-to-end-grounded-reasoning,2025-12-09,The Databricks AI Research Team,TRUE,
dbx-r-databricks-neurips-2025,databricks,research,Databricks at NeurIPS 2025,https://www.databricks.com/blog/databricks-neurips-2025,2025-12-01,Sam Plecque,TRUE,
dbx-r-pilot-production-custom-judges,databricks,research,From Pilot to Production with Custom Judges,https://www.databricks.com/blog/pilot-production-custom-judges,2025-11-04,The Databricks AI Research Team,TRUE,
dbx-e-fast-peft-serving-scale,databricks,engineering,Fast PEFT Serving at Scale,https://www.databricks.com/blog/fast-peft-serving-scale,2025-10-21,The Databricks AI Research Team,TRUE,
dbx-r-building-state-art-enterprise-agents-90x-cheaper-automated-prompt-optimization,databricks,research,Building State-of-the-Art Enterprise Agents 90x Cheaper with Automated Prompt Optimization,https://www.databricks.com/blog/building-state-art-enterprise-agents-90x-cheaper-automated-prompt-optimization,2025-09-24,The Databricks AI Research Team,TRUE,
dbx-r-judging-confidence-meet-pgrm-promptable-reward-model,databricks,research,"Judging with Confidence: Meet PGRM, the Promptable Reward Model",https://www.databricks.com/blog/judging-confidence-meet-pgrm-promptable-reward-model,2025-08-12,The Databricks AI Research Team,TRUE,
dbx-r-agent-learning-human-feedback-alhf-databricks-knowledge-assistant-case-study,databricks,research,Agent Learning from Human Feedback (ALHF): A Databricks Knowledge Assistant Case Study,https://www.databricks.com/blog/agent-learning-human-feedback-alhf-databricks-knowledge-assistant-case-study,2025-08-04,The Databricks AI Research Team,TRUE,
dbx-r-power-rlvr-training-leading-sql-reasoning-model-databricks,databricks,research,The Power of RLVR: Training a Leading SQL Reasoning Model on Databricks,https://www.databricks.com/blog/power-rlvr-training-leading-sql-reasoning-model-databricks,2025-07-30,The Databricks AI Research Team,TRUE,
dbx-r-power-fine-tuning-your-data-quick-fixing-bugs-llms-never-ending-learning-nel,databricks,research,The Power of Fine-Tuning on Your Data: Quick Fixing Bugs with LLMs via Never Ending Learning (NEL),https://www.databricks.com/blog/power-fine-tuning-your-data-quick-fixing-bugs-llms-never-ending-learning-nel,2025-04-08,Samantha Banchik|Ta-Chung Chi|Sam Havens|Dipendra Misra|Will Tipton|Jan van der Vegt|Matei Zaharia|Emanuel Zgraggen,TRUE,
dbx-r-tao-using-test-time-compute-train-efficient-llms-without-labeled-data,databricks,research,TAO: Using test-time compute to train efficient LLMs without labeled data,https://www.databricks.com/blog/tao-using-test-time-compute-train-efficient-llms-without-labeled-data,2025-03-25,The Databricks AI Research Team,TRUE,
dbx-r-benchmarking-domain-intelligence,databricks,research,Benchmarking Domain Intelligence,https://www.databricks.com/blog/benchmarking-domain-intelligence,2024-12-17,Pallavi Koppol|Erica Ji Yuen|Kartik Sreenivasan|Andy Zhang|Sam Havens|Michael Carbin|Matei Zaharia|Jonathan Frankle,TRUE,
dbx-r-databricks-neurips-2024,databricks,research,Databricks at NeurIPS 2024,https://www.databricks.com/blog/databricks-neurips-2024,2024-12-09,Sam Plecque|Kobie Crawford|Emily Hutson,TRUE,
dbx-r-characterizing-datasets-and-building-better-models-continued-pre-training,databricks,research,Characterizing Datasets and Building Better Models with Continued Pre-Training,https://www.databricks.com/blog/characterizing-datasets-and-building-better-models-continued-pre-training,2024-11-21,Mansheej Paul|Brett Larsen|Connor Jennings|Cody Blakeney,TRUE,
dbx-r-long-context-rag-capabilities-openai-o1-and-google-gemini,databricks,research,The Long Context RAG Capabilities of OpenAI o1 and Google Gemini,https://www.databricks.com/blog/long-context-rag-capabilities-openai-o1-and-google-gemini,2024-10-08,Quinn Leng|Jacob Portes|Sam Havens|Matei Zaharia|Michael Carbin,TRUE,
dbx-r-mixattention,databricks,research,Inference-Friendly Models with MixAttention,https://www.databricks.com/blog/mixattention,2024-09-18,Shashank Rajput|Ying Sheng (Stanford University)|Sean Owen|Vitaliy Chiley,TRUE,
dbx-r-unpacking-function-calling-eval,databricks,research,Beyond the Leaderboard: Unpacking Function Calling Evaluation,https://www.databricks.com/blog/unpacking-function-calling-eval,2024-08-16,Kartik Sreenivasan|Jeffrey Chen|Pallavi Koppol|Eitan Turok|Bay Foley-Cox|Asfandyar Qureshi|Sam Havens,TRUE,
dbx-r-long-context-rag-performance-llms,databricks,research,Long Context RAG Performance of LLMs,https://www.databricks.com/blog/long-context-rag-performance-llms,2024-08-12,Quinn Leng|Jacob Portes|Sam Havens|Matei Zaharia|Michael Carbin,TRUE,
dbx-r-how-long-should-you-train-your-language-model,databricks,research,How Long Should You Train Your Language Model?,https://www.databricks.com/blog/how-long-should-you-train-your-language-model,2024-07-19,Nikhil Sardana|Jacob Portes|Sasha Doubov,TRUE,
dbx-e-training-moes-scale-pytorch-and-databricks,databricks,engineering,Training MoEs at Scale with PyTorch and Databricks,https://www.databricks.com/blog/training-moes-scale-pytorch-and-databricks,2024-07-01,Brian Chu|Mihir Patel|Vitaliy Chiley|Evan Racah,TRUE,
dbx-r-optimizing-databricks-llm-pipelines-dspy,databricks,research,Optimizing Databricks LLM Pipelines with DSPy,https://www.databricks.com/blog/optimizing-databricks-llm-pipelines-dspy,2024-05-23,Arnav Singhvi|Daniel Pechi (JetBlue),TRUE,
dbx-e-mosaic-ai-training-capabilities,databricks,engineering,Building DBRX-class Custom LLMs with Mosaic AI Training,https://www.databricks.com/blog/mosaic-ai-training-capabilities,2024-05-14,Anna Pfohl|Cheng Li|Mihir Patel|Wai Wu|Will Gleich|Ajay Saini|Hagay Lupesko,TRUE,
dbx-r-calibrating-mosaic-evaluation-gauntlet,databricks,research,Calibrating the Mosaic Evaluation Gauntlet,https://www.databricks.com/blog/calibrating-mosaic-evaluation-gauntlet,2024-04-30,Tessa Barton,TRUE,
dbx-e-bringing-megablocks-databricks,databricks,engineering,Bringing MegaBlocks to Databricks,https://www.databricks.com/blog/bringing-megablocks-databricks,2024-04-09,Mihir Patel|Trevor Gale|Vitaliy Chiley,TRUE,
dbx-r-dspy-databricks,databricks,research,DSPy on Databricks,https://www.databricks.com/blog/dspy-databricks,2024-04-08,Arnav Singhvi|Michael Carbin|Matei Zaharia,TRUE,
dbx-r-introducing-dbrx-new-state-art-open-llm,databricks,research,Introducing DBRX: A New State-of-the-Art Open LLM,https://www.databricks.com/blog/introducing-dbrx-new-state-art-open-llm,2024-03-27,The Databricks AI Research Team,TRUE,
dbx-e-turbocharged-training-optimizing-databricks-mosaic-ai-stack-fp8,databricks,engineering,Turbocharged Training: Optimizing the Databricks Mosaic AI Stack With FP8,https://www.databricks.com/blog/turbocharged-training-optimizing-databricks-mosaic-ai-stack-fp8,2024-03-21,Mihir Patel|Cheng Li|Davis Blalock|Saaketh Narayan,TRUE,
dbx-e-fast-secure-and-reliable-enterprise-grade-llm-inference,databricks,engineering,"Fast, Secure and Reliable: Enterprise-grade LLM Inference",https://www.databricks.com/blog/fast-secure-and-reliable-enterprise-grade-llm-inference,2024-03-20,Linden Li|Jeffrey Chen|Megha Agarwal|Margaret Qian|Daya Khudia,TRUE,
dbx-r-fine-grained-human-feedback,databricks,research,Fine-Grained Human Feedback,https://www.databricks.com/blog/fine-grained-human-feedback,2024-02-27,Prithviraj (Raj) Ammanabrolu,TRUE,
dbx-r-limit-less-more-instruction-tuning,databricks,research,LIMIT: Less Is More for Instruction Tuning,https://www.databricks.com/blog/limit-less-more-instruction-tuning,2024-02-10,Aditi Jha|Jacob Portes,TRUE,
dbx-r-ai2-olmo-is-here,databricks,research,"OLMo Is Here, Powered by Databricks",https://www.databricks.com/blog/ai2-olmo-is-here,2024-02-01,Jonathan Frankle,TRUE,
dbx-e-serving-quantized-llms-nvidia-h100-tensor-core-gpus,databricks,engineering,Serving Quantized LLMs on NVIDIA H100 Tensor Core GPUs,https://www.databricks.com/blog/serving-quantized-llms-nvidia-h100-tensor-core-gpus,2024-01-31,Nikhil Sardana|Julian Quevedo|Daya Khudia,TRUE,
dbx-e-llm-training-and-inference-intel-gaudi2-ai-accelerators,databricks,engineering,LLM Training and Inference with Intel Gaudi 2 AI Accelerators,https://www.databricks.com/blog/llm-training-and-inference-intel-gaudi2-ai-accelerators,2024-01-04,Abhi Venigalla|Daya Khudia,TRUE,
dbx-e-integrating-nvidia-tensorrt-llm,databricks,engineering,Integrating NVIDIA TensorRT-LLM with the Databricks Inference Stack,https://www.databricks.com/blog/Integrating-NVIDIA-TensorRT-LLM,2023-12-21,Linden Li|Megha Agarwal|Kobie Crawford|Daya Khudia,TRUE,
dbx-r-patronus-ai-using-llms-to-detect-business-sensitive-information,databricks,research,Patronus AI: Using LLMs to Detect Business-Sensitive Information,https://www.databricks.com/blog/patronus-ai-using-llms-to-detect-business-sensitive-information,2023-11-01,Emily Hutson,FALSE,customer-story
dbx-e-training-llms-scale-amd-mi250-gpus,databricks,engineering,Training LLMs at Scale with AMD MI250 GPUs,https://www.databricks.com/blog/training-llms-scale-amd-mi250-gpus,2023-10-30,Abhi Venigalla,TRUE,
dbx-e-llm-training-unity-catalog-data-mosaicml-streaming-dataset,databricks,engineering,LLM Training on Unity Catalog data with MosaicML Streaming Dataset,https://www.databricks.com/blog/llm-training-unity-catalog-data-mosaicml-streaming-dataset,2023-10-17,Xiaohan Zhang|Maddie Dawson|Karan Jariwala,TRUE,
dbx-e-llm-inference-performance-engineering-best-practices,databricks,engineering,LLM Inference Performance Engineering: Best Practices,https://www.databricks.com/blog/llm-inference-performance-engineering-best-practices,2023-10-12,Megha Agarwal|Asfandyar Qureshi|Nikhil Sardana|Linden Li|Julian Quevedo|Daya Khudia,TRUE,
dbx-r-llama2-inference,databricks,research,Introducing Llama2-70B-Chat with MosaicML Inference,https://www.databricks.com/blog/llama2-inference,2023-08-24,Hagay Lupesko|Margaret Qian|Daya Khudia|Sam Havens|Daniel King|Erica Ji Yuen,TRUE,
dbx-r-secure-code-evaluation,databricks,research,End-to-End Secure Evaluation of Code Generation Models,https://www.databricks.com/blog/secure-code-evaluation,2023-08-10,Rishab Parthasarathy,TRUE,
dbx-r-long-context-mpt-7b-8k,databricks,research,Announcing MPT-7B-8K: 8K Context Length for Document Understanding,https://www.databricks.com/blog/long-context-mpt-7b-8k,2023-07-18,Sam Havens|Erica Ji Yuen,TRUE,
