id,company,track,title,url,publish_date,authors,in_scope,scope_reason
dsk-r-deepseek-coder,deepseek,research,DeepSeek-Coder: When the Large Language Model Meets Programming,https://github.com/deepseek-ai/DeepSeek-Coder,2023-10-20,DeepSeek-AI,TRUE,
dsk-r-deepseek-coder-v2,deepseek,research,DeepSeek-Coder-V2: Breaking the Barrier of Closed-Source Models in Code Intelligence,https://github.com/deepseek-ai/DeepSeek-Coder-V2,2024-06-14,DeepSeek-AI,TRUE,
dsk-r-deepseek-llm,deepseek,research,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,https://github.com/deepseek-ai/DeepSeek-LLM,2023-11-29,DeepSeek-AI,TRUE,
dsk-r-deepseek-math,deepseek,research,DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models,https://github.com/deepseek-ai/DeepSeek-Math,2024-02-05,DeepSeek-AI,TRUE,
dsk-r-deepseek-math-v2,deepseek,research,DeepSeekMath-V2: Towards Self-Verifiable Mathematical Reasoning,https://github.com/deepseek-ai/DeepSeek-Math-V2,2025-11-27,DeepSeek-AI,TRUE,
dsk-r-deepseek-moe,deepseek,research,DeepSeekMoE: Towards Ultimate Expert Specialization in Mixture-of-Experts Language Models,https://github.com/deepseek-ai/DeepSeek-MoE,2024-01-02,DeepSeek-AI,TRUE,
dsk-r-deepseek-ocr,deepseek,research,DeepSeek-OCR: Contexts Optical Compression,https://github.com/deepseek-ai/DeepSeek-OCR,2025-10-17,DeepSeek-AI,TRUE,
dsk-r-deepseek-ocr-2,deepseek,research,DeepSeek-OCR-2: Visual Causal Flow,https://github.com/deepseek-ai/DeepSeek-OCR-2,2026-01-27,DeepSeek-AI,TRUE,
dsk-r-deepseek-prover-v1.5,deepseek,research,DeepSeek-Prover-V1.5: Harnessing Proof Assistant Feedback for Reinforcement Learning and Monte-Carlo Tree Search,https://github.com/deepseek-ai/DeepSeek-Prover-V1.5,2024-08-15,DeepSeek-AI,TRUE,
dsk-r-deepseek-prover-v2,deepseek,research,DeepSeek-Prover-V2: Advancing Formal Mathematical Reasoning via Reinforcement Learning,https://github.com/deepseek-ai/DeepSeek-Prover-V2,2025-04-30,DeepSeek-AI,TRUE,
dsk-r-deepseek-r1,deepseek,research,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,https://github.com/deepseek-ai/DeepSeek-R1,2025-01-20,DeepSeek-AI,TRUE,
dsk-r-deepseek-v2,deepseek,research,"DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model",https://github.com/deepseek-ai/DeepSeek-V2,2024-04-22,DeepSeek-AI,TRUE,
dsk-r-deepseek-v3,deepseek,research,DeepSeek-V3 Technical Report,https://github.com/deepseek-ai/DeepSeek-V3,2024-12-26,DeepSeek-AI,TRUE,
dsk-r-deepseek-v3.2-exp,deepseek,research,DeepSeek-V3.2-Exp: Exploring Sparse Attention,https://github.com/deepseek-ai/DeepSeek-V3.2-Exp,2025-09-29,DeepSeek-AI,TRUE,
dsk-r-deepseek-vl,deepseek,research,DeepSeek-VL: Towards Real-World Vision-Language Understanding,https://github.com/deepseek-ai/DeepSeek-VL,2024-03-07,DeepSeek-AI,TRUE,
dsk-r-deepseek-vl2,deepseek,research,DeepSeek-VL2: Mixture-of-Experts Vision-Language Models for Advanced Multimodal Understanding,https://github.com/deepseek-ai/DeepSeek-VL2,2024-12-13,DeepSeek-AI,TRUE,
dsk-r-dreamcraft3d,deepseek,research,DreamCraft3D: Hierarchical 3D Generation with Bootstrapped Diffusion Prior,https://github.com/deepseek-ai/DreamCraft3D,2023-10-23,DeepSeek-AI,TRUE,
dsk-r-engram,deepseek,research,Engram: Conditional Memory via Scalable Lookup,https://github.com/deepseek-ai/Engram,2026-01-12,DeepSeek-AI,TRUE,
dsk-r-esft,deepseek,research,ESFT: Expert Specialized Fine-Tuning,https://github.com/deepseek-ai/ESFT,2024-07-04,DeepSeek-AI,TRUE,
dsk-r-janus,deepseek,research,Janus / Janus-Pro: Unified Multimodal Understanding and Generation,https://github.com/deepseek-ai/Janus,2024-10-18,DeepSeek-AI,TRUE,
