id,company,focus_area,subcategory,title,url,signal_priority
dbx-r-calibrating-mosaic-evaluation-gauntlet,databricks,evals-and-benchmarks,eval-systems-and-harnesses,Calibrating the Mosaic Evaluation Gauntlet,https://www.databricks.com/blog/calibrating-mosaic-evaluation-gauntlet,7.6
dbx-r-secure-code-evaluation,databricks,evals-and-benchmarks,eval-systems-and-harnesses,End-to-End Secure Evaluation of Code Generation Models,https://www.databricks.com/blog/secure-code-evaluation,7.6
dbx-r-mpt-30b,databricks,pretraining-and-architecture,foundation-model-releases,MPT-30B: Raising the bar for open-source foundation models,https://www.databricks.com/blog/mpt-30b,7.6
dbx-r-llm-evaluation-for-icl,databricks,evals-and-benchmarks,eval-systems-and-harnesses,Blazingly Fast LLM Evaluation for In-Context Learning,https://www.databricks.com/blog/llm-evaluation-for-icl,7.6
dbx-r-mosaic-image-segmentation,databricks,pretraining-and-architecture,training-stack,5x Faster Image Segmentation Training with MosaicML Recipes,https://www.databricks.com/blog/mosaic-image-segmentation,7.6
dbx-r-gpt-3-quality-for-500k,databricks,pretraining-and-architecture,training-stack,Mosaic LLMs: GPT-3 quality for <$500k,https://www.databricks.com/blog/gpt-3-quality-for-500k,7.6
dbx-r-mosaic-resnet,databricks,pretraining-and-architecture,training-stack,Blazingly Fast Computer Vision Training with the Mosaic ResNet and Composer,https://www.databricks.com/blog/mosaic-resnet,7.6
hf-r-moe-transformers,huggingface,pretraining-and-architecture,architectures,Mixture of Experts (MoEs) in Transformers,https://huggingface.co/blog/moe-transformers,7.6
hf-r-custom-cuda-kernels-agent-skills,huggingface,agentic-systems,coding-agents,Custom Kernels for All from Codex and Claude,https://huggingface.co/blog/custom-cuda-kernels-agent-skills,7.6
hf-r-intel-deepmath,huggingface,agentic-systems,agent-frameworks-and-tooling,DeepMath: A lightweight math reasoning Agent with smolagents,https://huggingface.co/blog/intel-deepmath,7.6
hf-r-claude-and-mcp,huggingface,harness-and-context-engineering,mcp-and-tool-protocols,Generate Images with Claude and Hugging Face,https://huggingface.co/blog/claude-and-mcp,7.6
hf-r-mcp-for-research,huggingface,harness-and-context-engineering,mcp-and-tool-protocols,MCP for Research: How to Connect AI to Research Tools,https://huggingface.co/blog/mcp-for-research,7.6
hf-r-gradio-vton-mcp,huggingface,harness-and-context-engineering,mcp-and-tool-protocols,Implementing MCP Servers in Python: An AI Shopping Assistant with Gradio,https://huggingface.co/blog/gradio-vton-mcp,7.6
hf-r-futurebench,huggingface,agentic-systems,agent-frameworks-and-tooling,Back to The Future: Evaluating AI Agents on Predicting Future Events,https://huggingface.co/blog/futurebench,7.6
hf-r-gradio-mcp-updates,huggingface,harness-and-context-engineering,mcp-and-tool-protocols,Five Big Improvements to Gradio MCP Servers,https://huggingface.co/blog/gradio-mcp-updates,7.6
