id,company,current_focus_area,current_subcategory,title,url,publish_date
ant-e-managed-agents,anthropic,harness-and-context-engineering,fallback-harness,Scaling Managed Agents: Decoupling the brain from the hands,https://www.anthropic.com/engineering/managed-agents,2026-02-04
ant-e-ai-resistant-technical-evaluations,anthropic,harness-and-context-engineering,fallback-harness,Designing AI resistant technical evaluations,https://www.anthropic.com/engineering/AI-resistant-technical-evaluations,2026-01-21
ant-r-ai-fluency-index,anthropic,alignment-and-safety,fallback-alignment,Anthropic Education Report: The AI Fluency Index,https://www.anthropic.com/research/AI-fluency-index,2026-02-23
ant-r-estimating-productivity-gains,anthropic,alignment-and-safety,fallback-alignment,Estimating AI productivity gains,https://www.anthropic.com/research/estimating-productivity-gains,2025-11-25
ant-r-agentic-misalignment,anthropic,agentic-systems,agents-general,Agentic Misalignment: How LLMs could be insider threats,https://www.anthropic.com/research/agentic-misalignment,2025-06-20
ant-r-tracing-thoughts-language-model,anthropic,interpretability,fallback-interp,Tracing the thoughts of a large language model,https://www.anthropic.com/research/tracing-thoughts-language-model,2025-03-27
ant-r-visible-extended-thinking,anthropic,alignment-and-safety,fallback-alignment,Claude's extended thinking,https://www.anthropic.com/research/visible-extended-thinking,2025-02-24
ant-r-crosscoder-model-diffing,anthropic,interpretability,fallback-interp,Insights on Crosscoder Model Diffing,https://www.anthropic.com/research/crosscoder-model-diffing,2025-02-20
ant-r-clio,anthropic,alignment-and-safety,fallback-alignment,Clio: Privacy-preserving insights into real-world AI use,https://www.anthropic.com/research/clio,2024-12-12
ant-r-features-as-classifiers,anthropic,interpretability,fallback-interp,Using dictionary learning features as classifiers,https://www.anthropic.com/research/features-as-classifiers,2024-10-16
ant-r-engineering-challenges-interpretability,anthropic,interpretability,fallback-interp,The engineering challenges of scaling interpretability,https://www.anthropic.com/research/engineering-challenges-interpretability,2024-06-13
ant-r-claude-character,anthropic,alignment-and-safety,fallback-alignment,Claude’s Character,https://www.anthropic.com/research/claude-character,2024-06-08
ant-r-mapping-mind-language-model,anthropic,pretraining-and-architecture,fallback-architecture,Mapping the Mind of a Large Language Model,https://www.anthropic.com/research/mapping-mind-language-model,2024-05-21
ant-r-measuring-model-persuasiveness,anthropic,pretraining-and-architecture,fallback-architecture,Measuring the Persuasiveness of Language Models,https://www.anthropic.com/research/measuring-model-persuasiveness,2024-04-09
ant-r-evaluating-and-mitigating-discrimination-in-language-model-decisions,anthropic,pretraining-and-architecture,fallback-architecture,Evaluating and Mitigating Discrimination in Language Model Decisions,https://www.anthropic.com/research/evaluating-and-mitigating-discrimination-in-language-model-decisions,2023-12-07
ant-r-towards-understanding-sycophancy-in-language-models,anthropic,pretraining-and-architecture,fallback-architecture,Towards Understanding Sycophancy in Language Models,https://www.anthropic.com/research/towards-understanding-sycophancy-in-language-models,2023-10-23
ant-r-decomposing-language-models-into-understandable-components,anthropic,pretraining-and-architecture,fallback-architecture,Decomposing Language Models Into Understandable Components,https://www.anthropic.com/research/decomposing-language-models-into-understandable-components,2023-10-05
ant-r-towards-monosemanticity-decomposing-language-models-with-dictionary-learning,anthropic,pretraining-and-architecture,fallback-architecture,Towards Monosemanticity: Decomposing Language Models With Dictionary Learning,https://www.anthropic.com/research/towards-monosemanticity-decomposing-language-models-with-dictionary-learning,2023-10-05
ant-r-evaluating-ai-systems,anthropic,pretraining-and-architecture,fallback-architecture,Challenges in evaluating AI systems,https://www.anthropic.com/research/evaluating-ai-systems,2023-10-04
ant-r-influence-functions,anthropic,pretraining-and-architecture,fallback-architecture,Tracing Model Outputs to the Training Data,https://www.anthropic.com/research/influence-functions,2023-08-08
ant-r-measuring-faithfulness-in-chain-of-thought-reasoning,anthropic,pretraining-and-architecture,fallback-architecture,Measuring Faithfulness in Chain-of-Thought Reasoning,https://www.anthropic.com/research/measuring-faithfulness-in-chain-of-thought-reasoning,2023-07-18
ant-r-towards-measuring-the-representation-of-subjective-global-opinions-in-language-models,anthropic,pretraining-and-architecture,fallback-architecture,Towards Measuring the Representation of Subjective Global Opinions in Language Models,https://www.anthropic.com/research/towards-measuring-the-representation-of-subjective-global-opinions-in-language-models,2023-06-29
ant-r-interpretability-dreams,anthropic,pretraining-and-architecture,fallback-architecture,Interpretability Dreams,https://www.anthropic.com/research/interpretability-dreams,2023-05-24
