id,summary,new_signal_learning,new_signal_novelty,new_signal_actionability,refined_subcategory
oai-r-instruction-hierarchy-challenge,"Introduces IH-Challenge, a training dataset that strengthens instruction hierarchy in frontier LLMs; Teaches models to prioritize trusted instructions (system > developer > user > tool output) when they conflict; Reduces prompt-injection and jailbreak success while improving safety steerability per model-spec principles; Proper hierarchy training improves multiple real-world safety metrics without degrading capability; Frames injection/jailbreak/policy-violation as one root cause: following the wrong instruction source",H,M,H,
oai-r-how-we-monitor-internal-coding-agents-misalignment,"Describes OpenAI's chain-of-thought monitoring system for internal coding agents used at scale; Monitors real deployments for misaligned behaviors like sandbox escapes, deception, and security bypasses (e.g. base64-encoded commands); Argues monitoring is a prerequisite for a safety case as agents gain autonomy; Uses the most powerful models themselves as graders over CoT and tool traces; Flags categories including bypass attempts, unauthorized self-modification, and task deception",H,M,H,agent-monitoring-and-oversight
oai-r-accelerating-biological-research-in-the-wet-lab,"Evaluation framework (with Red Queen Bio) measuring frontier models on wet-lab biology tasks; GPT-5 optimized a molecular cloning protocol, yielding a 79x efficiency improvement via a novel mechanism; Demonstrates AI can drive empirical iteration, not just theoretical work, with biosecurity guardrails; Uses an evolutionary loop with a robotic system for closed-loop protocol design; Part of biosecurity risk assessment tied to the Preparedness Framework",H,H,M,ai-for-science
oai-r-prediction-and-control-with-temporal-segment-models,"Paper proposing temporal segment models for prediction and control in RL/robotics; Models sequences of states over time segments instead of step-by-step dynamics, improving long-horizon planning; Useful for sample-efficient model-based control and exploration; Landing page with abstract and paper link—limited web content; Historical research technique foundational to later world-model work",L,L,L,
oai-r-understanding-neural-networks-through-sparse-circuits,"Trains models using a sparse architecture so internal reasoning forms traceable, simpler circuits; Demonstrates mechanistic interpretability by producing models whose neurons and connections are easier to attribute; Offers a path toward transparent, safer AI systems and supports chain-of-thought monitoring; Evaluates interpretability quantitatively against dense baselines; Frames sparse training as a first-class approach to making models legible",H,H,M,
oai-r-fine-tuning-gpt-2,"Fine-tunes 774M GPT-2 on human preferences for stylistic continuation and summarization—an early RLHF-style experiment; Achieves 88%/86% human preference over base model for sentiment/descriptiveness; 5K samples suffice for style tasks; 60K for summarization; Seminal example showing labeler preferences can diverge from intent (learned to copy instead of summarize); Surfaces risks: online-data collection, ambiguous tasks, reward hacking via bugs; Precursor work to InstructGPT and RLHF pipelines",H,M,M,rlhf-and-preference-learning
oai-r-improving-language-model-behavior,"Shows small, curated values-targeted fine-tuning datasets can shift model behavior on sensitive topics; Documents a three-step process: define categories, craft dataset, fine-tune and evaluate; Produces statistically significant behavioral gains without harming downstream performance; Early blueprint for constitutional / behavior-tuning work; Practical playbook for operators wanting context-specific model behavior",M,L,H,
oai-r-improving-gans-using-optimal-transport,"Paper introducing optimal-transport-based training objectives for GANs to stabilize adversarial training; Uses Sinkhorn divergence and mini-batch energy distance to reduce mode collapse and improve sample quality; Relevant historical step in GAN stability research; Landing page only has abstract; Superseded by diffusion models but foundational for OT-based generative methods",L,L,L,
oai-r-transfer-from-simulation-to-real-world-through-learning-deep-inverse-dynamics-model,"Paper on sim-to-real transfer for robotics using a learned deep inverse dynamics model; Bridges simulator-reality gap by mapping sim actions to real-robot actions that achieve intended effects; Practical approach for deploying RL policies trained in simulation; Only abstract/paper-link available on blog; Part of OpenAI's robotics agenda later discontinued",L,L,L,
oai-r-consistency-models,"Introduces consistency models—a new class of generative models that sample high-quality data in a single step; Trains models so points on the same probability-flow ODE trajectory map to the same output, enabling one-step generation; Foundational contribution: rival diffusion quality without iterative sampling, paving way for fast distillation methods; Landing page shows abstract; foundational paper widely cited; Matters for anyone scaling diffusion/video generation efficiently",H,H,M,diffusion-and-generative-models
